German	IPA	Vietnamese	Example	Translation
das Industriematerial	[ɪndʊsˈtʁiːmateˌʁi̯aːl]	Vật liệu công nghiệp	Số ít: [Welches Industriematerial ist hitzebeständig?] [ˈvɛlçəs ɪndʊsˈtʁiːmateˌʁi̯aːl ɪst ˈhɪtsəbəˌʃtɛndɪç] – [Keramik ist ein hitzebeständiges Industriematerial.] [keˈʁaːmɪk ɪst aɪn ˈhɪtsəbəˌʃtɛndɪɡəs ɪndʊsˈtʁiːmateˌʁi̯aːl] \nSố nhiều (die Industriematerialien): [Welche Industriematerialien werden knapp?] [ˈvɛlçə ɪndʊsˈtʁiːmateˌʁi̯aːliən ˈvɛʁdən knap] – [Seltene Erden und bestimmte Industriematerialien werden knapp.] [ˈzɛltənə ˈeːɐdən ʊnt bəˈʃtɪmtə ɪndʊsˈtʁiːmateˌʁi̯aːliən ˈvɛʁdən knap]	Số ít: "Vật liệu công nghiệp nào chịu nhiệt?" – "Gốm là một vật liệu công nghiệp chịu nhiệt." \nSố nhiều: "Những vật liệu công nghiệp nào đang trở nên khan hiếm?" – "Đất hiếm và một số vật liệu công nghiệp nhất định đang khan hiếm."
die Legierung	[leˈɡiːʁʊŋ]	Hợp kim	Số ít: [Aus welcher Legierung besteht das Bauteil?] [aʊs ˈvɛlçɐ leˈɡiːʁʊŋ bəˈʃteːt das ˈbaʊtaɪl] – [Das Bauteil besteht aus einer Titanlegierung.] [das ˈbaʊtaɪl bəˈʃteːt aʊs ˈaɪnɐ tiˈtaːnleˌɡiːʁʊŋ] \nSố nhiều: [Welche Legierungen sind rostfrei?] [ˈvɛlçə leˈɡiːʁʊŋən zɪnt ˈʁɔstfʁaɪ] – [Edelstahllegierungen sind rostfrei.] [ˈeːdəlʃtaːlleˌɡiːʁʊŋən zɪnt ˈʁɔstfʁaɪ]	Số ít: "Chi tiết được làm từ hợp kim nào?" – "Chi tiết được làm từ hợp kim titan." \nSố nhiều: "Những hợp kim nào không gỉ?" – "Các hợp kim thép không gỉ là không gỉ."
der Verbundwerkstoff	[fɛɐˈbʊntvɛʁkˌʃtɔf]	Vật liệu composite	Số ít: [Warum wird der Verbundwerkstoff im Flugzeugbau verwendet?] [vaˈʁʊm vɪʁt deːɐ fɛɐˈbʊntvɛʁkˌʃtɔf ɪm ˈfluːktsɔʏkbaʊ fɛɐˈvɛndət] – [Verbundwerkstoffe sind leicht und sehr fest.] [fɛɐˈbʊntvɛʁkˌʃtɔfə zɪnt laɪçt ʊnt zeːɐ fɛst] \nSố nhiều: [Welche Verbundwerkstoffe werden 3D‑gedruckt?] [ˈvɛlçə fɛɐˈbʊntvɛʁkˌʃtɔfə ˈvɛʁdən dʁaɪˈdeː ɡəˈdʁʊkt] – [Faserverstärkte Verbundwerkstoffe lassen sich 3D‑drucken.] [ˈfaːzɐfɛɐˌʃtɛʁktə fɛɐˈbʊntvɛʁkˌʃtɔfə ˈlasən zɪç dʁaɪˈdeː ˈdʁʊkən]	Số ít: "Tại sao vật liệu composite được dùng trong chế tạo máy bay?" – "Vật liệu composite nhẹ và rất bền." \nSố nhiều: "Những vật liệu composite nào được in 3D?" – "Vật liệu composite gia cường sợi có thể được in 3D."
die Textil‑ und Bekleidungsindustrie	[tɛksˈtiːl ʊnt bəˈklaɪdʊŋsɪndʊstʁiː]	Công nghiệp dệt may	Số ít: [Ist die Textil‑ und Bekleidungsindustrie globalisiert?] [ɪst diː tɛksˈtiːl ʊnt bəˈklaɪdʊŋsɪndʊstʁiː ɡlobaːliˈziːɐt] – [Ja, die Textil‑ und Bekleidungsindustrie ist stark globalisiert.] [jaː diː tɛksˈtiːl ʊnt bəˈklaɪdʊŋsɪndʊstʁiː ɪst ʃtaʁk ɡlobaːliˈziːɐt] \nSố nhiều: [Welche Textil‑ und Bekleidungsindustrien fertigen nachhaltig?] [ˈvɛlçə tɛksˈtiːl ʊnt bəˈklaɪdʊŋsɪndʊstʁiən ˈfɛʁtɪɡən ˈnaːxhaltɪç] – [Skandinavische Textil‑ und Bekleidungsindustrien fertigen zunehmend nachhaltig.] [skandiˈnaːvɪʃə tɛksˈtiːl ʊnt bəˈklaɪdʊŋsɪndʊstʁiən ˈfɛʁtɪɡən ˈtsuːneːmənt ˈnaːxhaltɪç]	Số ít: "Ngành dệt may có tính toàn cầu hóa không?" – "Có, ngành dệt may được toàn cầu hóa mạnh." \nSố nhiều: "Những ngành dệt may nào sản xuất bền vững?" – "Các ngành dệt may Scandinavia ngày càng sản xuất bền vững."
die Lebensmittelindustrie	[ˈleːbənsmɪtəlɪndʊstʁiː]	Công nghiệp thực phẩm	Số ít: [Unterliegt die Lebensmittelindustrie strengen Hygienevorschriften?] [ʊntɐˈliːkt diː ˈleːbənsmɪtəlɪndʊstʁiː ˈʃtʁɛŋən hyˈɡiːnəˌfoːɐʃʁɪftən] – [Ja, die Lebensmittelindustrie unterliegt strengen Hygienevorschriften.] [jaː diː ˈleːbənsmɪtəlɪndʊstʁiː ʊntɐˈliːkt ˈʃtʁɛŋən hyˈɡiːnəˌfoːɐʃʁɪftən] \nSố nhiều: [Welche Lebensmittelindustrien setzen auf Bio‑Produkte?] [ˈvɛlçə ˈleːbənsmɪtəlɪndʊstʁiən ˈzɛtsən aʊf ˈbiːo pʁoˈdʊktə] – [Viele europäische Lebensmittelindustrien setzen auf Bio‑Produkte.] [ˈfiːlə ɔʏʁoˈpɛːɪʃə ˈleːbənsmɪtəlɪndʊstʁiən ˈzɛtsən aʊf ˈbiːo pʁoˈdʊktə]	Số ít: "Ngành thực phẩm có chịu các quy định vệ sinh nghiêm ngặt không?" – "Có, ngành thực phẩm phải tuân thủ các quy định vệ sinh nghiêm ngặt." \nSố nhiều: "Những ngành thực phẩm nào tập trung vào sản phẩm hữu cơ?" – "Nhiều ngành thực phẩm châu Âu tập trung vào sản phẩm hữu cơ."
die Getränkeindustrie	[ɡəˈtʁɛŋkəɪndʊstʁiː]	Công nghiệp đồ uống	Số ít: [Wie verpackt die Getränkeindustrie ihre Produkte?] [viː fɛɐˈpakt diː ɡəˈtʁɛŋkəɪndʊstʁiː ˈiːʁə pʁoˈdʊktə] – [Die Getränkeindustrie nutzt Glas‑, PET‑ und Dosenverpackungen.] [diː ɡəˈtʁɛŋkəɪndʊstʁiː nʊtst ɡlaːs peːeːˈteː ʊnt ˈdoːzənfɛɐˌpakʊŋən] \nSố nhiều: [Welche Getränkeindustrien wachsen in Asien?] [ˈvɛlçə ɡəˈtʁɛŋkəɪndʊstʁiən ˈvaksən ɪn ˈaːziən] – [Die Abfüll‑ und die Brauindustrie wachsen in Asien.] [diː ˈapfʏl ʊnt diː ˈbʁaʊɪndʊstʁiː ˈvaksən ɪn ˈaːziən]	Số ít: "Ngành đồ uống đóng gói sản phẩm như thế nào?" – "Ngành đồ uống sử dụng bao bì thủy tinh, PET và lon." \nSố nhiều: "Những ngành đồ uống nào đang tăng trưởng ở châu Á?" – "Ngành chiết rót và ngành bia đang tăng trưởng ở châu Á."
die Papierindustrie	[paˈpiːɐɪndʊstʁiː]	Công nghiệp giấy	Số ít: [Ist die Papierindustrie recyclingfähig?] [ɪst diː paˈpiːɐɪndʊstʁiː ʁeˈsaɪklɪŋˌfɛːɪç] – [Ja, die Papierindustrie setzt stark auf Recyclingfasern.] [jaː diː paˈpiːɐɪndʊstʁiː ˈzɛtst ʃtaʁk aʊf ʁeˈsaɪklɪŋˌfaːzɐn] \nSố nhiều: [Welche Papierindustrien produzieren Verpackungspapier?] [ˈvɛlçə paˈpiːɐɪndʊstʁiən pʁoduˈtsiːʁən fɛɐˈpakʊŋspaˌpiːɐ] – [Die skandinavischen und die kanadischen Papierindustrien produzieren viel Verpackungspapier.] [diː skandiˈnaːvɪʃən ʊnt diː kaˈnaːdɪʃən paˈpiːɐɪndʊstʁiən pʁoduˈtsiːʁən fiːl fɛɐˈpakʊŋspaˌpiːɐ]	Số ít: "Ngành giấy có khả năng tái chế không?" – "Có, ngành giấy tập trung mạnh vào sợi tái chế." \nSố nhiều: "Những ngành giấy nào sản xuất giấy bao bì?" – "Các ngành giấy Scandinavia và Canada sản xuất nhiều giấy bao bì."
die Holzindustrie	[ˈhɔltsɪndʊstʁiː]	Công nghiệp gỗ	Số ít: [Welche Produkte kommen aus der Holzindustrie?] [ˈvɛlçə pʁoˈdʊktə ˈkɔmən aʊs deːɐ ˈhɔltsɪndʊstʁiː] – [Die Holzindustrie liefert Bauholz, Möbel und Papierrohstoffe.] [diː ˈhɔltsɪndʊstʁiː ˈliːfɐt ˈbaʊhɔlts ˈmøːbəl ʊnt paˈpiːɐʁoːʃtɔfə] \nSố nhiều: [Welche Holzindustrien sind zertifiziert?] [ˈvɛlçə ˈhɔltsɪndʊstʁiən zɪnt tseʁtifiˈtsiːɐt] – [Die Holzindustrien mit FSC‑Siegel sind zertifiziert.] [diː ˈhɔltsɪndʊstʁiən mɪt ɛfɛsˈtseː ˈziːɡəl zɪnt tseʁtifiˈtsiːɐt]	Số ít: "Những sản phẩm nào đến từ ngành công nghiệp gỗ?" – "Ngành gỗ cung cấp gỗ xây dựng, đồ nội thất và nguyên liệu giấy." \nSố nhiều: "Những ngành gỗ nào đã được chứng nhận?" – "Các ngành gỗ có dấu FSC đã được chứng nhận."
die Verpackungsindustrie	[fɛɐˈpakʊŋsɪndʊstʁiː]	Công nghiệp bao bì	Số ít: [Wohin entwickelt sich die Verpackungsindustrie?] [voˈhɪn ɛntˈvɪkəlt zɪç diː fɛɐˈpakʊŋsɪndʊstʁiː] – [Die Verpackungsindustrie entwickelt sich zu mehr Nachhaltigkeit.] [diː fɛɐˈpakʊŋsɪndʊstʁiː ɛntˈvɪkəlt zɪç tsuː meːɐ ˈnaːxhaltɪçkaɪt] \nSố nhiều: [Welche Verpackungsindustrien setzen auf Monomaterial?] [ˈvɛlçə fɛɐˈpakʊŋsɪndʊstʁiən ˈzɛtsən aʊf ˈmoːnomateˌʁi̯aːl] – [Viele europäische Verpackungsindustrien setzen auf recyclingfreundliches Monomaterial.] [ˈfiːlə ɔʏʁoˈpɛːɪʃə fɛɐˈpakʊŋsɪndʊstʁiən ˈzɛtsən aʊf ʁeˈsaɪklɪŋˌfʁɔʏntlɪçəs ˈmoːnomateˌʁi̯aːl]	Số ít: "Ngành bao bì đang phát triển theo hướng nào?" – "Ngành bao bì đang phát triển theo hướng bền vững hơn." \nSố nhiều: "Những ngành bao bì nào tập trung vào vật liệu đơn?" – "Nhiều ngành bao bì châu Âu tập trung vào vật liệu đơn thân thiện với tái chế."
die Druckindustrie	[ˈdʁʊkɪndʊstʁiː]	Công nghiệp in ấn	Số ít: [Digitalisiert sich die Druckindustrie?] [diɡitaliˈziːɐt zɪç diː ˈdʁʊkɪndʊstʁiː] – [Ja, die Druckindustrie setzt vermehrt auf Digitaldruck.] [jaː diː ˈdʁʊkɪndʊstʁiː ˈzɛtst fɛɐˈmeːɐt aʊf diɡiˈtaːldʁʊk] \nSố nhiều: [Welche Druckindustrien sind auf Verpackungen spezialisiert?] [ˈvɛlçə ˈdʁʊkɪndʊstʁiən zɪnt aʊf fɛɐˈpakʊŋən ʃpetsi̯aliˈziːɐt] – [Flexodruck‑ und Tiefdruckindustrien sind auf Verpackungen spezialisiert.] [ˈflɛksodʁʊk ʊnt ˈtiːfdʁʊkɪndʊstʁiən zɪnt aʊf fɛɐˈpakʊŋən ʃpetsi̯aliˈziːɐt]	Số ít: "Ngành in ấn có đang số hóa không?" – "Có, ngành in ấn đang ngày càng dùng in kỹ thuật số." \nSố nhiều: "Những ngành in nào chuyên về bao bì?" – "Các ngành in flexo và in ống đồng chuyên về bao bì."
die Automatisierung	[aʊtɔmatiˈziːʁʊŋ]	Tự động hóa	Số ít: [Ersetzt die Automatisierung Arbeitsplätze?] [ɛɐˈzɛtst diː aʊtɔmatiˈziːʁʊŋ ˈaʁbaɪtsplɛtsə] – [Die Automatisierung ersetzt einfache Tätigkeiten, schafft aber auch neue Jobs.] [diː aʊtɔmatiˈziːʁʊŋ ɛɐˈzɛtst ˈaɪnfaxə ˈtɛːtɪçkaɪtən ʃaft ˈaːbɐ aʊx ˈnɔʏə dʒɔps] \nSố nhiều: [Welche Automatisierungen sind im Lager üblich?] [ˈvɛlçə aʊtɔmatiˈziːʁʊŋən zɪnt ɪm ˈlaːɡɐ ˈyːplɪç] – [Kommissionier‑ und Lagersystemautomatisierungen sind üblich.] [kɔmɪsjoˈniːɐ ʊnt ˈlaːɡɐzʏsteːmaʊtɔmatiˈziːʁʊŋən zɪnt ˈyːplɪç]	Số ít: "Tự động hóa có thay thế việc làm không?" – "Tự động hóa thay thế những công việc đơn giản, nhưng cũng tạo ra việc làm mới." \nSố nhiều: "Những giải pháp tự động hóa nào phổ biến trong kho?" – "Tự động hóa hệ thống lấy hàng và lưu kho là phổ biến."
die Logistik	[loˈɡɪstɪk]	Hậu cần / Logistics	Số ít: [Warum ist die Logistik ein Wettbewerbsfaktor?] [vaˈʁʊm ɪst diː loˈɡɪstɪk aɪn ˈvɛtbəvɛʁpsˌfaktoːɐ] – [Weil gute Logistik Lieferzeiten verkürzt und Kosten senkt.] [vaɪl ˈɡuːtə loˈɡɪstɪk ˈliːfɐtsaɪtən fɛɐˈkʏʁtst ʊnt ˈkɔstən zɛŋkt] \nSố nhiều: [Welche Logistiken sind für die Pharmabranche wichtig?] [ˈvɛlçə loˈɡɪstɪkən zɪnt fyːɐ diː ˈfaʁmabʁãːʃə ˈvɪçtɪç] – [Kühlkettenlogistiken und temperaturgeführte Logistiken sind für die Pharmabranche wichtig.] [ˈkyːlkɛtənloˌɡɪstɪkən ʊnt tɛmpəʁaˈtuːɐɡəˌfyːɐtə loˈɡɪstɪkən zɪnt fyːɐ diː ˈfaʁmabʁãːʃə ˈvɪçtɪç]	Số ít: "Tại sao logistics là một yếu tố cạnh tranh?" – "Vì logistics tốt rút ngắn thời gian giao hàng và giảm chi phí." \nSố nhiều: "Những loại logistics nào quan trọng với ngành dược?" – "Logistics chuỗi lạnh và logistics kiểm soát nhiệt độ quan trọng với ngành dược."
das Qualitätsmanagement	[kvaliˈtɛːtsˌmɛnɪtʃmənt]	Quản lý chất lượng	Số ít: [Wofür steht QM?] [voˈfyːɐ ʃteːt kuːˈɛm] – [QM steht für Qualitätsmanagement.] [kuːˈɛm ʃteːt fyːɐ kvaliˈtɛːtsˌmɛnɪtʃmənt] \nSố nhiều: [Welche Qualitätsmanagementsysteme sind verbreitet?] [ˈvɛlçə kvaliˈtɛːtsˌmɛnɪtʃməntzʏsˌteːmə zɪnt fɛɐˈbʁaɪtət] – [ISO 9001 und Six Sigma sind verbreitete QM‑Systeme.] [iːɛsˈoː ˈnaʊntaʊzn̩tˌʔaɪn ʊnt sɪks ˈzɪɡma zɪnt fɛɐˈbʁaɪtətə kuːˈɛm zʏsˈteːmə]	Số ít: "QM là viết tắt của gì?" – "QM là viết tắt của quản lý chất lượng." \nSố nhiều: "Những hệ thống quản lý chất lượng nào phổ biến?" – "ISO 9001 và Six Sigma là những hệ thống QM phổ biến."
die Betriebssicherheit	[bəˈtʁiːpszɪçɐhaɪt]	An toàn vận hành	Số ít: [Wer ist für die Betriebssicherheit verantwortlich?] [veːɐ ɪst fyːɐ diː bəˈtʁiːpszɪçɐhaɪt fɛɐˈʔantvɔʁtlɪç] – [Die Fachkraft für Arbeitssicherheit ist für die Betriebssicherheit verantwortlich.] [diː ˈfaxkʁaft fyːɐ ˈaʁbaɪtszɪçɐhaɪt ɪst fyːɐ diː bəˈtʁiːpszɪçɐhaɪt fɛɐˈʔantvɔʁtlɪç] \nSố nhiều: [Welche Betriebssicherheiten werden auditiert?] [ˈvɛlçə bəˈtʁiːpszɪçɐhaɪtən ˈvɛʁdən aʊdiˈtiːɐt] – [Die Anlagen‑ und Brandschutzbetriebssicherheiten werden auditiert.] [diː ˈanlaːɡən ʊnt ˈbʁantʃʊtsbəˌtʁiːpszɪçɐhaɪtən ˈvɛʁdən aʊdiˈtiːɐt]	Số ít: "Ai chịu trách nhiệm về an toàn vận hành?" – "Chuyên viên an toàn lao động chịu trách nhiệm về an toàn vận hành." \nSố nhiều: "Những khía cạnh an toàn vận hành nào được đánh giá?" – "An toàn vận hành thiết bị và phòng cháy được đánh giá."
die Arbeitssicherheit	[ˈaʁbaɪtszɪçɐhaɪt]	An toàn lao động	Số ít: [Wird die Arbeitssicherheit regelmäßig geschult?] [vɪʁt diː ˈaʁbaɪtszɪçɐhaɪt ˈʁeːɡəlˌmɛːsɪç ɡəˈʃuːlt] – [Ja, alle Mitarbeiter erhalten regelmäßig Arbeitssicherheitsschulungen.] [jaː ˈalə ˈmɪtaʁbaɪtɐ ɛɐˈhaltən ˈʁeːɡəlˌmɛːsɪç ˈaʁbaɪtszɪçɐhaɪtsˌʃuːlʊŋən] \nSố nhiều: [Welche Arbeitssicherheiten sind in der Chemieindustrie essenziell?] [ˈvɛlçə ˈaʁbaɪtszɪçɐhaɪtən zɪnt ɪn deːɐ çeˈmiːɪndʊstʁiː ɛsɛnˈtsi̯ɛl] – [Persönliche Schutzausrüstung und Gaswarngeräte sind essenziell.] [pɛʁˈzøːnlɪçə ˈʃʊtsʔaʊsˌʁʏstʊŋ ʊnt ˈɡaːsvaʁnɡəˌʁɛːtə zɪnt ɛsɛnˈtsi̯ɛl]	Số ít: "An toàn lao động có được đào tạo thường xuyên không?" – "Có, mọi nhân viên đều được đào tạo an toàn lao động định kỳ." \nSố nhiều: "Những biện pháp an toàn lao động nào là thiết yếu trong công nghiệp hóa chất?" – "Phương tiện bảo hộ cá nhân và thiết bị cảnh báo khí gas là thiết yếu."
die Norm	[nɔʁm]	Tiêu chuẩn	Số ít: [Welche Norm gilt für Qualitätsmanagement?] [ˈvɛlçə nɔʁm ɡɪlt fyːɐ kvaliˈtɛːtsˌmɛnɪtʃmənt] – [Die ISO 9001 gilt für Qualitätsmanagement.] [diː iːɛsˈoː ˈnaʊntaʊzn̩tˌʔaɪn ɡɪlt fyːɐ kvaliˈtɛːtsˌmɛnɪtʃmənt] \nSố nhiều: [Welche Normen sind in der EU verpflichtend?] [ˈvɛlçə ˈnɔʁmən zɪnt ɪn deːɐ eːˈuː fɛɐˈpflɪçtənt] – [Die CE‑Kennzeichnungsnormen sind verpflichtend.] [diː tseːˈeː ˈkɛntsaɪçnʊŋsˌnɔʁmən zɪnt fɛɐˈpflɪçtənt]	Số ít: "Tiêu chuẩn nào áp dụng cho quản lý chất lượng?" – "ISO 9001 áp dụng cho quản lý chất lượng." \nSố nhiều: "Những tiêu chuẩn nào là bắt buộc tại EU?" – "Các tiêu chuẩn về dấu CE là bắt buộc."
die Zertifizierung	[tseʁtifiˈtsiːʁʊŋ]	Chứng nhận	Số ít: [Wann war die letzte Zertifizierung?] [van vaːɐ diː ˈlɛtstə tseʁtifiˈtsiːʁʊŋ] – [Die letzte Zertifizierung war im Mai.] [diː ˈlɛtstə tseʁtifiˈtsiːʁʊŋ vaːɐ ɪm maɪ] \nSố nhiều: [Welche Zertifizierungen besitzt Ihr Unternehmen?] [ˈvɛlçə tseʁtifiˈtsiːʁʊŋən bəˈzɪtst iːɐ ˌʊntɐˈneːmən] – [Wir besitzen ISO 14001 und ISO 45001.] [viːɐ bəˈzɪtsən iːɛsˈoː ˈfɪʁtseːntaʊzn̩tˌʔaɪn ʊnt iːɛsˈoː ˈfʏnfʊntfɪʁtsɪçtaʊzn̩tˌʔaɪn]	Số ít: "Lần chứng nhận gần đây nhất là khi nào?" – "Lần chứng nhận gần đây nhất là vào tháng Năm." \nSố nhiều: "Công ty của các bạn có những chứng nhận nào?" – "Chúng tôi có ISO 14001 và ISO 45001."
die Lieferkette	[ˈliːfɐˌkɛtə]	Chuỗi cung ứng	Số ít: [Ist die Lieferkette stabil?] [ɪst diː ˈliːfɐˌkɛtə ʃtaˈbiːl] – [Die Lieferkette ist derzeit stabil, aber unter Beobachtung.] [diː ˈliːfɐˌkɛtə ɪst ˈdeːɐtsaɪt ʃtaˈbiːl ˈaːbɐ ˈʊntɐ bəˈʔoːbaxtʊŋ] \nSố nhiều: [Welche Lieferketten sind besonders anfällig?] [ˈvɛlçə ˈliːfɐˌkɛtən zɪnt bəˈzɔndɐs ˈanfɛlɪç] – [Lieferketten für Halbleiter und Seltene Erden sind besonders anfällig.] [ˈliːfɐˌkɛtən fyːɐ ˈhalplaɪtɐ ʊnt ˈzɛltənə ˈeːɐdən zɪnt bəˈzɔndɐs ˈanfɛlɪç]	Số ít: "Chuỗi cung ứng có ổn định không?" – "Chuỗi cung ứng hiện ổn định nhưng đang được theo dõi." \nSố nhiều: "Những chuỗi cung ứng nào đặc biệt dễ bị ảnh hưởng?" – "Các chuỗi cung ứng chất bán dẫn và đất hiếm đặc biệt dễ bị ảnh hưởng."
die Kreislaufwirtschaft	[ˈkʁaɪslaʊfˌvɪʁtʃaft]	Kinh tế tuần hoàn	Số ít: [Was versteht man unter Kreislaufwirtschaft?] [vas fɛɐˈʃteːt man ˈʊntɐ ˈkʁaɪslaʊfˌvɪʁtʃaft] – [Kreislaufwirtschaft ist ein Modell, bei dem Abfälle vermieden und Ressourcen wiederverwendet werden.] [ˈkʁaɪslaʊfˌvɪʁtʃaft ɪst aɪn moˈdɛl baɪ deːm ˈapfɛlə fɛɐˈmiːdən ʊnt ʁɛˈsʊʁsən ˈviːdɐfɛɐˌvɛndət ˈvɛʁdən] \nSố nhiều: [Welche Kreislaufwirtschaften sind in der EU geplant?] [ˈvɛlçə ˈkʁaɪslaʊfˌvɪʁtʃaftən zɪnt ɪn deːɐ eːˈuː ɡəˈplaːnt] – [Nationale und regionale Kreislaufwirtschaften werden durch den Green Deal gefördert.] [natsi̯oˈnaːlə ʊnt ʁeɡjoˈnaːlə ˈkʁaɪslaʊfˌvɪʁtʃaftən ˈvɛʁdən dʊʁç deːn ɡʁiːn diːl ɡəˈfœʁdɐt]	Số ít: "Kinh tế tuần hoàn được hiểu là gì?" – "Kinh tế tuần hoàn là mô hình trong đó chất thải được tránh và tài nguyên được tái sử dụng." \nSố nhiều: "Những nền kinh tế tuần hoàn nào đang được quy hoạch ở EU?" – "Các nền kinh tế tuần hoàn quốc gia và vùng được thúc đẩy qua Thỏa thuận Xanh."
die Digitalisierung	[diɡitaliˈziːʁʊŋ]	Số hóa	Số ít: [Wie verändert die Digitalisierung die Industrie?] [viː fɛɐˈʔɛndɐt diː diɡitaliˈziːʁʊŋ diː ɪndʊsˈtʁiː] – [Die Digitalisierung ermöglicht vernetzte Produktion und Echtzeitdaten.] [diː diɡitaliˈziːʁʊŋ ɛɐˈmøːklɪçt fɛɐˈnɛtstə pʁodʊkˈtsjoːn ʊnt ˈɛçtzaɪtˌdaːtən] \nSố nhiều: [Welche Digitalisierungen sind im Mittelstand wichtig?] [ˈvɛlçə diɡitaliˈziːʁʊŋən zɪnt ɪm ˈmɪtl̩ʃtant ˈvɪçtɪç] – [Prozessdigitalisierungen und Cloud‑Lösungen sind im Mittelstand wichtig.] [pʁoˈtsɛsdiɡitaliˌziːʁʊŋən ʊnt klaʊd ˈløːzʊŋən zɪnt ɪm ˈmɪtl̩ʃtant ˈvɪçtɪç]	Số ít: "Số hóa thay đổi ngành công nghiệp như thế nào?" – "Số hóa cho phép sản xuất nối mạng và dữ liệu thời gian thực." \nSố nhiều: "Những giải pháp số hóa nào quan trọng với doanh nghiệp vừa?" – "Số hóa quy trình và các giải pháp đám mây quan trọng với doanh nghiệp vừa."
der Arbeitsschutz	[ˈaʁbaɪtsˌʃʊts]	Bảo hộ lao động	Số ít: [Ist der Arbeitsschutz gesetzlich vorgeschrieben?] [ɪst deːɐ ˈaʁbaɪtsˌʃʊts ɡəˈzɛtslɪç ˈfoːɐɡəʃʁiːbən] – [Ja, der Arbeitsschutz ist im Arbeitsschutzgesetz verankert.] [jaː deːɐ ˈaʁbaɪtsˌʃʊts ɪst ɪm ˈaʁbaɪtsʃʊtsɡəˌzɛts fɛɐˈʔaŋkɐt] \nSố nhiều: [Welche Arbeitsschutzmaßnahmen sind vor Ort getroffen?] [ˈvɛlçə ˈaʁbaɪtsʃʊtsˌmaːsnaːmən zɪnt foːɐ ɔʁt ɡəˈtʁɔfən] – [Gehörschutz, Schutzbrillen und Sicherheitsschuhe sind vorgeschrieben.] [ɡəˈhøːɐʃʊts ˈʃʊtsˌbʁɪlən ʊnt ˈzɪçɐhaɪtsˌʃuːə zɪnt ˈfoːɐɡəʃʁiːbən]	Số ít: "Bảo hộ lao động có được pháp luật quy định không?" – "Có, bảo hộ lao động được ghi trong Luật Bảo hộ Lao động." \nSố nhiều: "Những biện pháp bảo hộ lao động nào được thực hiện tại chỗ?" – "Bảo vệ thính giác, kính bảo hộ và giày an toàn được quy định."
die Emissionskontrolle	[emɪˈsjoːnskɔnˌtʁɔlə]	Kiểm soát khí thải	Số ít: [Wie erfolgt die Emissionskontrolle im Werk?] [viː ɛɐˈfɔlkt diː emɪˈsjoːnskɔnˌtʁɔlə ɪm vɛʁk] – [Die Emissionskontrolle erfolgt durch kontinuierliche Messungen.] [diː emɪˈsjoːnskɔnˌtʁɔlə ɛɐˈfɔlkt dʊʁç kɔntinuˈiːɐlɪçə ˈmɛsʊŋən] \nSố nhiều: [Welche Emissionskontrollen sind für Kraftwerke vorgeschrieben?] [ˈvɛlçə emɪˈsjoːnskɔnˌtʁɔlən zɪnt fyːɐ ˈkʁaftvɛʁkə ˈfoːɐɡəʃʁiːbən] – [Staub‑, NOx‑ und SO₂‑Kontrollen sind vorgeschrieben.] [ʃtaʊp ˈnɔks ʊnt ɛsʔoːˈtsvaɪ kɔnˈtʁɔlən zɪnt ˈfoːɐɡəʃʁiːbən]	Số ít: "Việc kiểm soát khí thải trong nhà máy diễn ra như thế nào?" – "Kiểm soát khí thải được thực hiện thông qua các phép đo liên tục." \nSố nhiều: "Những biện pháp kiểm soát khí thải nào được quy định cho nhà máy điện?" – "Kiểm soát bụi, NOx và SO₂ được quy định."
der 3D‑Druck	[dʁaɪˈdeː dʁʊk]	In 3D	Số ít: [Wofür wird der 3D‑Druck in der Industrie genutzt?] [voˈfyːɐ vɪʁt deːɐ dʁaɪˈdeː dʁʊk ɪn deːɐ ɪndʊsˈtʁiː ɡəˈnʊtst] – [Der 3D‑Druck wird für Prototypen und Ersatzteile genutzt.] [deːɐ dʁaɪˈdeː dʁʊk vɪʁt fyːɐ pʁotoˈtyːpən ʊnt ɛɐˈzatsˌtaɪlə ɡəˈnʊtst] \nSố nhiều: [Welche 3D‑Druck‑Verfahren sind im Metallbereich üblich?] [ˈvɛlçə dʁaɪˈdeː dʁʊk fɛɐˈfaːʁən zɪnt ɪm meˈtalbəˌʁaɪç ˈyːplɪç] – [Selektives Laserschmelzen und Elektronenstrahlschmelzen sind üblich.] [zeˈlɛktiːvəs ˈlaːzɐˌʃmɛltsən ʊnt eˈlɛktʁoːnənʃtʁaːlˌʃmɛltsən zɪnt ˈyːplɪç]	Số ít: "In 3D được dùng để làm gì trong công nghiệp?" – "In 3D được dùng cho nguyên mẫu và phụ tùng thay thế." \nSố nhiều: "Những phương pháp in 3D nào phổ biến trong lĩnh vực kim loại?" – "Nấu chảy laser chọn lọc và nấu chảy chùm tia điện tử là phổ biến."
